id_x,host_id,host_response_rate,host_is_superhost,host_listings_count,accommodates,bathrooms,bedrooms,beds,price,avg_rating,number_of_reviews,neighbourhood_cleansed,property_type,neighbourhood_cleansed_freq,property_type_freq
628006307899461981,459340688,1.0,1,4.0,3.0,1.5,1.0,1.0,153.0,4.8100000000000005,16641,Dublin City,Entire condo,0.6807995154451847,0.08661417322834646
628071384444128607,53916225,1.0,0,1.0,6.0,2.5,4.0,4.0,342.0,4.911428571428571,64,Dn Laoghaire-Rathdown,Entire home,0.13506965475469412,0.18655360387643852
629380913066918457,15183105,1.0,1,2.0,3.0,1.0,1.0,1.0,171.0,4.804285714285713,6561,Dn Laoghaire-Rathdown,Entire rental unit,0.13506965475469412,0.21562689279224712
629419420724708343,445826113,1.0,1,1.0,6.0,2.5,3.0,3.0,229.0,4.8342857142857145,15876,South Dublin,Entire home,0.06117504542701393,0.18655360387643852
629616750634622406,459735595,1.0,1,2.0,3.0,1.5,1.0,1.0,88.0,4.852857142857143,13225,Dn Laoghaire-Rathdown,Private room in condo,0.13506965475469412,0.04784978800726832
631101216686162666,456776147,1.0,1,6.0,2.0,2.0,2.0,2.0,130.0,4.897142857142858,625,Dublin City,Entire loft,0.6807995154451847,0.006662628709872804
632560789382376971,460381583,1.0,0,2.0,6.0,3.0,3.0,3.0,500.0,4.945714285714286,961,Dn Laoghaire-Rathdown,Entire home,0.13506965475469412,0.18655360387643852
632658501388757069,283480692,1.0,0,1.0,3.0,0.5,2.0,2.0,74.0,4.798571428571428,625,Dublin City,Private room in home,0.6807995154451847,0.20714718352513628
633759975656484311,81711775,0.0,0,1.0,2.0,1.0,1.0,1.0,121.0,4.781428571428571,441,Dublin City,Private room in home,0.6807995154451847,0.20714718352513628
633762898786988844,459139845,1.0,0,1.0,3.0,1.0,2.0,2.0,230.0,4.904285714285714,225,Fingal,Entire rental unit,0.12295578437310721,0.21562689279224712
635173817219022261,460286451,1.0,1,1.0,2.0,1.0,1.0,2.0,165.0,4.785714285714286,4900,Dublin City,Entire condo,0.6807995154451847,0.08661417322834646
635838890417156094,445964423,1.0,0,1.0,6.0,2.5,4.0,4.0,600.0,5.0,9,Dublin City,Entire home,0.6807995154451847,0.18655360387643852
636003298289361870,14491255,1.0,1,3.0,1.0,1.0,1.0,1.0,55.0,4.9557142857142855,256,Dn Laoghaire-Rathdown,Private room in home,0.13506965475469412,0.20714718352513628
636952084145469295,9822677,1.0,0,1.0,3.0,1.0,2.0,2.0,153.0,4.288571428571429,1681,Dublin City,Entire rental unit,0.6807995154451847,0.21562689279224712
636987922947803234,82090030,1.0,0,1.0,4.0,1.0,1.0,3.0,154.0,4.691428571428572,27889,Dublin City,Entire home,0.6807995154451847,0.18655360387643852
637672317605004221,39030238,1.0,1,1.0,2.0,1.5,1.0,1.0,72.0,4.824285714285715,4356,Fingal,Private room in home,0.12295578437310721,0.20714718352513628
638325884132190562,50136633,1.0,1,3.0,2.0,1.5,1.0,1.0,130.0,4.905714285714285,18769,Dublin City,Private room in condo,0.6807995154451847,0.04784978800726832
639857070284458700,462081016,0.75,0,1.0,5.0,2.0,2.0,2.0,175.0,4.971428571428571,25,Dublin City,Entire home,0.6807995154451847,0.18655360387643852
640593765730786274,76896588,0.9,1,3.0,4.0,2.5,2.0,2.0,300.0,4.905714285714287,15625,Dublin City,Entire home,0.6807995154451847,0.18655360387643852
642351883562305289,4927572,0.0,0,2.0,1.0,1.0,1.0,1.0,48.0,4.857142857142857,1,South Dublin,Private room in home,0.06117504542701393,0.20714718352513628
643525818693376762,462927268,1.0,1,1.0,4.0,1.0,2.0,3.0,278.0,4.822857142857143,1296,Dublin City,Entire rental unit,0.6807995154451847,0.21562689279224712
644121433786058477,38478460,1.0,1,2.0,7.0,2.0,4.0,4.0,374.0,4.894285714285715,256,Dn Laoghaire-Rathdown,Entire home,0.13506965475469412,0.18655360387643852
644252309708397925,2038146,1.0,1,1.0,2.0,1.0,1.0,1.0,63.0,4.9628571428571435,91204,Fingal,Entire guesthouse,0.12295578437310721,0.013325257419745608
644574054988405943,450732525,1.0,0,7.0,4.0,1.0,2.0,2.0,155.0,4.39,676,Dublin City,Entire home,0.6807995154451847,0.18655360387643852
644646631075769694,21013528,1.0,0,2.0,1.0,1.0,1.0,1.0,65.0,4.8428571428571425,441,Dn Laoghaire-Rathdown,Private room in home,0.13506965475469412,0.20714718352513628
